node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
UCDroTExK4JHElFo0priED9Q,0.45454545454545453,0.0,0.0,0.02149210970608478,0.00035176171554553983,0.0,0.0,-1.6642505782851325e-19,5,0,1,12
UC7H8v_XbGq9Y-urnujpuhfw,0.45454545454545453,0.0,0.0,0.02611804732239446,0.00035176171554553983,0.0,0.0,-3.5471811360602376e-19,5,0,1,12
UCK2ms4SEawLaDUnDOub_7kA,0.45454545454545453,0.0,0.0,0.03683042101218129,0.0004677431818954929,0.0,0.0,-9.696963577551224e-20,5,0,1,13
UCV-KFx9A6HD7gZ3FoMNzt7g,0.45454545454545453,0.0,0.0,0.04121579286284528,0.0003785023780986783,0.0,0.0,6.35583367648287e-15,5,0,1,13
UC99TxylEK8qtb-fGJPow9hQ,0.36363636363636365,0.0,0.0,0.037515303720360715,0.00037212803497033446,0.0,0.0,-9.450363047675653e-20,4,0,1,13
UCBRnqj7Xo0SVe71cA_xYVyA,0.45454545454545453,0.0,0.0,0.026828917881303236,0.00036238562075944635,0.0,0.0,-1.1812886478407733e-20,5,0,1,13
UCaT4miwO0otTQUQsP7f9RIQ,0.45454545454545453,0.0,0.0,0.025410230762574797,0.00036238562075944635,0.0,0.0,1.530839676732783e-19,5,0,1,13
UCiwJMaDPh7TaYi-XE_6VeTA,0.45454545454545453,0.0,0.0,0.0006011060351045924,0.0003942573364011658,0.0,0.0,4.35207175781056e-19,5,0,1,14
UCVZPr6oEgjv0o45qxqjzKcA,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,2.7496406594358855e-19,1.5216185191436744e-20,0,1,1,14
UCItQwY3JQ51EPm5iuKwMQ1Q,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,2.7496406594358855e-19,-1.8120196401008206e-20,0,1,1,14
UCEUAhylkpWD3aO0lC6FwWhg,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,2.7496406594358855e-19,8.778460980899565e-21,0,1,1,14
UCpnfoNWaq92PRQKGQhUtSGg,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,2.7496406594358855e-19,1.1677151126240474e-19,0,1,1,14
UCrLXCBPlkyFOstG_CCChtpg,0.45454545454545453,0.0,0.0,0.0008267844412666675,0.0006416185668944926,0.0,0.0,7.116518420819965e-20,5,0,1,15
UC67AYiLuFQBnEj-nWLc5dKw,0.45454545454545453,0.0033783783783783786,0.0,0.000992141329520001,0.00036238562075944635,0.0,4.496219155484523e-20,-5.914143413810817e-19,5,1,2,15
UCIoIpQqVmja07N9vk-0ISYA,0.45454545454545453,0.0,0.0,0.0008195950113426096,0.00036238562075944635,0.0,0.0,-1.8573192691599248e-20,5,0,1,15
UC9YRuO-EA_gzy7BQhRBs5FA,0.45454545454545453,0.0,0.0,0.0011930813456253178,0.00029864218947600737,0.0,0.0,4.2856635061280125e-20,5,0,1,15
UClK6oFD8LQ5DJLSx6K8v2tg,0.45454545454545453,0.0,0.0,0.0009150818087805835,0.00029864218947600737,0.0,0.0,-2.135629571331397e-21,5,0,1,15
UCZzEkUXllvN1fx2KFXyt2fw,0.45454545454545453,0.0,0.0,0.038580409380527925,0.0005311799789935855,0.0,0.0,5.145475689050247e-10,5,0,1,16
UCoICEMRkf_sP9ulcZsCxPBg,0.45454545454545453,0.0,0.0,0.03842223546801334,0.0003678825369926314,0.0,0.0,3.2784159531761324e-19,5,0,1,16
UCwtf3oR3LhzfnTIP1FuE6pw,0.45454545454545453,0.0,0.0,0.03856633150810299,0.00035379895052181003,0.0,0.0,5.145367995866176e-10,5,0,1,16
UC03l_Has_rMa4eWPiqejT5g,0.45454545454545453,0.0,0.0,0.03856633150810299,0.00035379895052181003,0.0,0.0,5.145367994201446e-10,5,0,2,16
UC0mDgaCIatM4q0zMaMODhdw,0.45454545454545453,0.0,0.0,0.03323094843513795,0.00035176171554553983,0.0,0.0,3.364383764951985e-12,5,0,1,16
UCA5n5s6y9GIHZe13jqrCNjw,0.45454545454545453,0.0,0.0,0.0006011060351045924,0.0003942573364011658,0.0,0.0,1.543031724461851e-19,5,0,1,17
UCTTN9yV02auik2kDlrQV2Pw,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,9.748880543537349e-20,4.53447998558807e-21,0,1,1,17
UCc25U3ed6PQj441dz9isuyg,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,9.748880543537349e-20,-2.3729564926154974e-19,0,1,1,17
UCzgxY5G2xhiwQerAwDyCVEg,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,9.748880543537349e-20,-5.3654975201858963e-20,0,1,1,17
UCjOiMkVPEk2P6gogVsXk-IQ,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,9.748880543537349e-20,-1.5891620841886136e-19,0,1,1,17
UCJdXX5nKAvE74e8v9fqUSwA,0.45454545454545453,0.0,0.0,0.0006011060351045924,0.0003942573364011658,0.0,0.0,-2.7633184656690854e-20,5,0,1,18
UCYKIqSMRTj2GxbSX9ssot6A,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,-1.745865700522404e-20,1.162904261688838e-19,0,1,1,18
UCaNrkJ9_s1i52ICqoS1ZLRQ,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,-1.745865700522404e-20,-5.884930757618412e-20,0,1,1,18
UCInm2FHNOE1kMtPfNZP9u3A,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,-1.745865700522404e-20,9.03620253082614e-21,0,1,1,18
UC5a7Ipm-jddSKTxcaa7No8g,0.0,0.0033783783783783786,0.0,0.0003339477972803291,7.554017998397095e-05,0.0,-1.745865700522404e-20,2.7036935788511953e-20,0,1,1,18
UCpn5Q362KUBSDPiwNF7iNzg,0.45454545454545453,0.0,0.0,0.03657832276414559,0.0005070725900111433,0.0,0.0,4.248420626682643e-17,5,0,1,19
UCe2UshIiOkfwgOQMiOt2_Pw,0.45454545454545453,0.0,0.0,0.027449443302454475,0.00047751477105062977,0.0,0.0,6.726552746330788e-21,5,0,1,19
UCey8tF5RaPULgcedhRxR7pA,0.45454545454545453,0.0,0.0,0.024256825497752266,0.0003801023286475081,0.0,0.0,-5.813249318923614e-20,5,0,1,19
UCyx2ncSpIlBwE8sus5Ym3YQ,0.45454545454545453,0.0,0.0,0.02424940495536452,0.0003432625913744147,0.0,0.0,4.693344213327369e-20,5,0,1,19
UCgtxtfRuVfw8IPZKkRVn05w,0.45454545454545453,0.0,0.0,0.0262332951870272,0.00033630876250713036,0.0,0.0,1.1593411770679967e-19,5,0,1,19
UCkvGif7f1894bm64XjVHang,0.09090909090909091,0.0,0.0,0.00012022120702091849,0.00013928361126740993,0.0,0.0,-1.4993655667617838e-19,1,0,1,20
UCAOQYZXcweb0brCj9A-uldw,0.0,0.0033783783783783786,0.0,0.00012022120702091849,7.554017998397095e-05,0.0,-9.472997586327455e-20,-1.9509340497348943e-21,0,1,1,20
