community,n_users,n_posts,mean_sentiment,std_sentiment,pct_positive,pct_negative,pct_neutral,sentiment_label
736,17,23,0.2546,0.4171,0.565,0.174,0.261,Positive
740,7,8,0.0877,0.4229,0.375,0.25,0.375,Positive
746,5,5,0.2879,0.3467,0.6,0.0,0.4,Positive
757,6,8,0.3039,0.4348,0.625,0.125,0.25,Positive
758,5,5,-0.0397,0.57,0.6,0.4,0.0,Neutral
760,5,5,0.0049,0.6537,0.4,0.6,0.0,Neutral
762,105,218,0.232,0.5153,0.596,0.243,0.161,Positive
764,93,183,0.0894,0.4775,0.443,0.29,0.268,Positive
765,69,190,0.2176,0.4757,0.532,0.232,0.237,Positive
774,5,5,0.0466,0.5366,0.2,0.2,0.6,Neutral
777,5,5,0.0548,0.3885,0.2,0.2,0.6,Positive
778,5,5,0.198,0.4314,0.4,0.4,0.2,Positive
780,5,5,-0.116,0.4025,0.2,0.4,0.4,Negative
781,5,5,0.057,0.3061,0.4,0.2,0.4,Positive
785,5,5,0.2291,0.5236,0.6,0.2,0.2,Positive
786,5,5,-0.0529,0.43,0.4,0.2,0.4,Negative
788,5,5,0.2767,0.3801,0.4,0.0,0.6,Positive
790,5,5,0.5032,0.3416,0.8,0.0,0.2,Positive
791,5,5,0.3345,0.5248,0.6,0.2,0.2,Positive
792,6,8,-0.0922,0.3149,0.25,0.5,0.25,Negative
793,5,5,0.1272,0.7781,0.6,0.4,0.0,Positive
794,5,5,0.5931,0.3756,0.8,0.0,0.2,Positive
797,18,24,0.1934,0.5162,0.583,0.167,0.25,Positive
803,5,5,0.0018,0.4354,0.4,0.4,0.2,Neutral
805,5,5,-0.0482,0.1546,0.2,0.2,0.6,Neutral
811,5,5,-0.1404,0.5441,0.4,0.4,0.2,Negative
821,5,5,0.1085,0.332,0.6,0.4,0.0,Positive
822,5,5,-0.1961,0.3952,0.2,0.6,0.2,Negative
825,5,5,-0.0073,0.3244,0.2,0.2,0.6,Neutral
829,11,16,0.0136,0.4541,0.375,0.438,0.188,Neutral
845,6,8,0.0358,0.4876,0.375,0.375,0.25,Neutral
847,65,105,0.1151,0.4198,0.486,0.229,0.286,Positive
859,5,5,0.5385,0.3133,1.0,0.0,0.0,Positive
865,55,88,0.1131,0.4683,0.455,0.227,0.318,Positive
866,5,7,-0.2216,0.4645,0.143,0.571,0.286,Negative
867,50,88,0.0596,0.4295,0.375,0.273,0.352,Positive
879,10,10,-0.0311,0.2997,0.4,0.2,0.4,Neutral
881,5,5,0.246,0.2723,0.6,0.0,0.4,Positive
885,5,6,-0.2208,0.4444,0.167,0.5,0.333,Negative
888,5,5,0.015,0.6088,0.6,0.4,0.0,Neutral
897,9,13,0.3548,0.3948,0.538,0.0,0.462,Positive
898,5,5,0.1385,0.8251,0.6,0.4,0.0,Positive
909,5,5,0.2118,0.4423,0.6,0.2,0.2,Positive
915,6,9,-0.0921,0.3177,0.111,0.333,0.556,Negative
916,7,8,0.3542,0.338,0.625,0.0,0.375,Positive
924,5,5,0.264,0.4264,0.4,0.0,0.6,Positive
926,5,5,-0.0843,0.1885,0.0,0.2,0.8,Negative
948,5,5,0.0909,0.5224,0.4,0.2,0.4,Positive
955,5,6,0.2805,0.3262,0.5,0.0,0.5,Positive
965,6,7,0.4097,0.218,0.857,0.0,0.143,Positive
966,5,5,0.0279,0.4267,0.4,0.2,0.4,Neutral
967,5,5,0.1414,0.2718,0.4,0.2,0.4,Positive
970,5,5,0.0129,0.3347,0.2,0.2,0.6,Neutral
990,5,5,-0.0735,0.5485,0.4,0.4,0.2,Negative
991,8,10,-0.1051,0.4157,0.1,0.3,0.6,Negative
1002,6,8,-0.0429,0.38,0.375,0.375,0.25,Neutral
1015,5,6,-0.1056,0.4711,0.333,0.333,0.333,Negative
1025,6,9,0.1084,0.4755,0.444,0.111,0.444,Positive
1026,5,5,0.1788,0.502,0.4,0.4,0.2,Positive
1027,5,5,0.0464,0.4466,0.4,0.2,0.4,Neutral
1043,5,6,-0.1397,0.3612,0.167,0.5,0.333,Negative
1045,5,7,-0.091,0.5256,0.429,0.286,0.286,Negative
1068,5,5,0.0781,0.4384,0.4,0.2,0.4,Positive
1083,21,35,0.0313,0.4459,0.314,0.286,0.4,Neutral
1091,12,14,0.105,0.39,0.357,0.214,0.429,Positive
1095,5,5,-0.0332,0.3208,0.2,0.4,0.4,Neutral
1114,5,5,-0.0759,0.28,0.2,0.2,0.6,Negative
1124,5,6,0.1167,0.391,0.333,0.167,0.5,Positive
1135,5,5,0.1421,0.2414,0.4,0.0,0.6,Positive
1136,5,5,-0.1336,0.6198,0.4,0.6,0.0,Negative
1138,5,5,-0.0042,0.3539,0.2,0.4,0.4,Neutral
1145,5,5,0.4184,0.5896,0.6,0.2,0.2,Positive
1147,8,14,0.1514,0.5748,0.5,0.286,0.214,Positive
1160,5,6,0.0602,0.2939,0.333,0.167,0.5,Positive
1166,10,18,0.0757,0.5455,0.444,0.278,0.278,Positive
1181,7,11,0.219,0.4723,0.545,0.273,0.182,Positive
1204,8,12,0.1988,0.3994,0.667,0.167,0.167,Positive
1205,5,6,-0.3651,0.4118,0.0,0.5,0.5,Negative
1223,12,15,0.074,0.3339,0.4,0.2,0.4,Positive
1234,5,7,0.1132,0.4941,0.429,0.143,0.429,Positive
1235,5,6,0.057,0.6291,0.5,0.5,0.0,Positive
1239,6,7,0.274,0.4781,0.571,0.143,0.286,Positive
1245,9,11,0.1389,0.3973,0.455,0.182,0.364,Positive
1255,6,6,0.4028,0.4362,0.667,0.167,0.167,Positive
1257,6,7,0.1606,0.3145,0.429,0.143,0.429,Positive
1258,5,5,0.644,0.2783,1.0,0.0,0.0,Positive
1277,7,10,0.2262,0.4448,0.6,0.3,0.1,Positive
1283,5,16,0.1512,0.5158,0.562,0.25,0.188,Positive
1287,8,12,0.1312,0.4467,0.5,0.333,0.167,Positive
